django.utils.autoreload DEBUG 2023-12-20 19:23:59,143 autoreload 9640 140194417188928 File /usr/lib/python3.11/weakref.py first seen with mtime 1686132789.0
django.utils.autoreload DEBUG 2023-12-20 19:23:59,143 autoreload 9640 140194417188928 File /usr/lib/python3.11/lib-dynload/_uuid.cpython-311-x86_64-linux-gnu.so first seen with mtime 1686132789.0
django.utils.autoreload DEBUG 2023-12-20 19:23:59,143 autoreload 9640 140194417188928 File /usr/lib/python3.11/email/__init__.py first seen with mtime 1686132789.0
django.utils.autoreload DEBUG 2023-12-20 19:23:59,143 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/phonenumbers/data/alt_format_44.py first seen with mtime 1702979339.629389
django.utils.autoreload DEBUG 2023-12-20 19:23:59,143 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/easyaudit/middleware/easyaudit.py first seen with mtime 1703058613.2862027
django.utils.autoreload DEBUG 2023-12-20 19:23:59,143 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/forms/forms.py first seen with mtime 1700301303.3236122
django.utils.autoreload DEBUG 2023-12-20 19:23:59,143 autoreload 9640 140194417188928 File /usr/lib/python3.11/asyncio/taskgroups.py first seen with mtime 1686132789.0
django.utils.autoreload DEBUG 2023-12-20 19:23:59,143 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/contrib/messages/middleware.py first seen with mtime 1700301303.1029794
django.utils.autoreload DEBUG 2023-12-20 19:23:59,143 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/contrib/admin/widgets.py first seen with mtime 1700301302.6656618
django.utils.autoreload DEBUG 2023-12-20 19:23:59,143 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/conf/global_settings.py first seen with mtime 1700301302.5653555
django.utils.autoreload DEBUG 2023-12-20 19:23:59,143 autoreload 9640 140194417188928 File /usr/lib/python3.11/linecache.py first seen with mtime 1686132789.0
django.utils.autoreload DEBUG 2023-12-20 19:23:59,144 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/db/models/enums.py first seen with mtime 1700301303.3115778
django.utils.autoreload DEBUG 2023-12-20 19:23:59,144 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/db/migrations/operations/special.py first seen with mtime 1700301303.3075662
django.utils.autoreload DEBUG 2023-12-20 19:23:59,144 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/core/files/base.py first seen with mtime 1700301303.2794857
django.utils.autoreload DEBUG 2023-12-20 19:23:59,144 autoreload 9640 140194417188928 File /usr/lib/python3.11/concurrent/__init__.py first seen with mtime 1686132789.0
django.utils.autoreload DEBUG 2023-12-20 19:23:59,144 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/health_check/db/backends.py first seen with mtime 1703058129.2886977
django.utils.autoreload DEBUG 2023-12-20 19:23:59,144 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/conf/urls/__init__.py first seen with mtime 1700301302.6616497
django.utils.autoreload DEBUG 2023-12-20 19:23:59,144 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/phonenumbers/unicode_util.py first seen with mtime 1702979339.609389
django.utils.autoreload DEBUG 2023-12-20 19:23:59,144 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/db/models/fields/related_descriptors.py first seen with mtime 1700301303.3155892
django.utils.autoreload DEBUG 2023-12-20 19:23:59,144 autoreload 9640 140194417188928 File /usr/lib/python3.11/asyncio/__init__.py first seen with mtime 1686132789.0
django.utils.autoreload DEBUG 2023-12-20 19:23:59,144 autoreload 9640 140194417188928 File /usr/lib/python3.11/asyncio/tasks.py first seen with mtime 1686132789.0
django.utils.autoreload DEBUG 2023-12-20 19:23:59,144 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/db/models/fields/related.py first seen with mtime 1700301303.3155892
django.utils.autoreload DEBUG 2023-12-20 19:23:59,144 autoreload 9640 140194417188928 File /usr/lib/python3.11/lib-dynload/_hashlib.cpython-311-x86_64-linux-gnu.so first seen with mtime 1686132789.0
django.utils.autoreload DEBUG 2023-12-20 19:23:59,145 autoreload 9640 140194417188928 File /usr/lib/python3.11/wsgiref/util.py first seen with mtime 1686132789.0
django.utils.autoreload DEBUG 2023-12-20 19:23:59,145 autoreload 9640 140194417188928 File /usr/lib/python3.11/json/encoder.py first seen with mtime 1686132789.0
django.utils.autoreload DEBUG 2023-12-20 19:23:59,145 autoreload 9640 140194417188928 File /usr/lib/python3.11/asyncio/base_events.py first seen with mtime 1686132789.0
django.utils.autoreload DEBUG 2023-12-20 19:23:59,145 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/contrib/sessions/middleware.py first seen with mtime 1700301303.1832097
django.utils.autoreload DEBUG 2023-12-20 19:23:59,145 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/core/servers/__init__.py first seen with mtime 1700301303.2915204
django.utils.autoreload DEBUG 2023-12-20 19:23:59,145 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/db/models/expressions.py first seen with mtime 1700301303.3115778
django.utils.autoreload DEBUG 2023-12-20 19:23:59,145 autoreload 9640 140194417188928 File /usr/lib/python3.11/re/_constants.py first seen with mtime 1686132789.0
django.utils.autoreload DEBUG 2023-12-20 19:23:59,145 autoreload 9640 140194417188928 File /usr/lib/python3.11/email/_parseaddr.py first seen with mtime 1686132789.0
django.utils.autoreload DEBUG 2023-12-20 19:23:59,145 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/contrib/admin/checks.py first seen with mtime 1700301302.6616497
django.utils.autoreload DEBUG 2023-12-20 19:23:59,145 autoreload 9640 140194417188928 File /usr/lib/python3.11/email/_policybase.py first seen with mtime 1686132789.0
django.utils.autoreload DEBUG 2023-12-20 19:23:59,145 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/views/defaults.py first seen with mtime 1700301303.3637273
django.utils.autoreload DEBUG 2023-12-20 19:23:59,146 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/utils/translation/trans_real.py first seen with mtime 1700301303.3637273
django.utils.autoreload DEBUG 2023-12-20 19:23:59,146 autoreload 9640 140194417188928 File /usr/lib/python3.11/csv.py first seen with mtime 1686132789.0
django.utils.autoreload DEBUG 2023-12-20 19:23:59,146 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/core/checks/compatibility/django_4_0.py first seen with mtime 1700301303.2794857
django.utils.autoreload DEBUG 2023-12-20 19:23:59,146 autoreload 9640 140194417188928 File /usr/lib/python3.11/email/mime/text.py first seen with mtime 1686132789.0
django.utils.autoreload DEBUG 2023-12-20 19:23:59,146 autoreload 9640 140194417188928 File /home/fabrice/Desktop/DjangoMainProject/DjangoValidationApp/app1/admin.py first seen with mtime 1702971380.5786543
django.utils.autoreload DEBUG 2023-12-20 19:23:59,146 autoreload 9640 140194417188928 File /usr/lib/python3.11/asyncio/locks.py first seen with mtime 1686132789.0
django.utils.autoreload DEBUG 2023-12-20 19:23:59,146 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/db/models/sql/subqueries.py first seen with mtime 1700301303.3196008
django.utils.autoreload DEBUG 2023-12-20 19:23:59,146 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/__init__.py first seen with mtime 1700301302.5613434
django.utils.autoreload DEBUG 2023-12-20 19:23:59,146 autoreload 9640 140194417188928 File /usr/lib/python3.11/pkgutil.py first seen with mtime 1686132789.0
django.utils.autoreload DEBUG 2023-12-20 19:23:59,146 autoreload 9640 140194417188928 File /usr/lib/python3.11/statistics.py first seen with mtime 1686132789.0
django.utils.autoreload DEBUG 2023-12-20 19:23:59,146 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/db/models/functions/text.py first seen with mtime 1700301303.3196008
django.utils.autoreload DEBUG 2023-12-20 19:23:59,146 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/utils/formats.py first seen with mtime 1700301303.359716
django.utils.autoreload DEBUG 2023-12-20 19:23:59,147 autoreload 9640 140194417188928 File /usr/lib/python3.11/__future__.py first seen with mtime 1686132789.0
django.utils.autoreload DEBUG 2023-12-20 19:23:59,147 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/sqlparse/engine/filter_stack.py first seen with mtime 1700301302.1561058
django.utils.autoreload DEBUG 2023-12-20 19:23:59,147 autoreload 9640 140194417188928 File /home/fabrice/Desktop/DjangoMainProject/DjangoValidationApp/app1/models.py first seen with mtime 1703096539.572814
django.utils.autoreload DEBUG 2023-12-20 19:23:59,147 autoreload 9640 140194417188928 File /usr/lib/python3.11/enum.py first seen with mtime 1686132789.0
django.utils.autoreload DEBUG 2023-12-20 19:23:59,147 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/core/checks/registry.py first seen with mtime 1700301303.2754743
django.utils.autoreload DEBUG 2023-12-20 19:23:59,147 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/utils/autoreload.py first seen with mtime 1700301303.3557043
django.utils.autoreload DEBUG 2023-12-20 19:23:59,147 autoreload 9640 140194417188928 File /usr/lib/python3.11/_compression.py first seen with mtime 1686132789.0
django.utils.autoreload DEBUG 2023-12-20 19:23:59,147 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/sqlparse/cli.py first seen with mtime 1700301302.1520934
django.utils.autoreload DEBUG 2023-12-20 19:23:59,147 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/core/files/storage/handler.py first seen with mtime 1700301303.2794857
django.utils.autoreload DEBUG 2023-12-20 19:23:59,147 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/db/models/fields/json.py first seen with mtime 1700301303.3155892
django.utils.autoreload DEBUG 2023-12-20 19:23:59,147 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/core/signals.py first seen with mtime 1700301303.2714627
django.utils.autoreload DEBUG 2023-12-20 19:23:59,147 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/contrib/admin/views/main.py first seen with mtime 1700301302.8020785
django.utils.autoreload DEBUG 2023-12-20 19:23:59,148 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/db/models/functions/math.py first seen with mtime 1700301303.3196008
django.utils.autoreload DEBUG 2023-12-20 19:23:59,148 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/babel/plural.py first seen with mtime 1702982090.2606366
django.utils.autoreload DEBUG 2023-12-20 19:23:59,148 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/templatetags/cache.py first seen with mtime 1700301303.3476813
django.utils.autoreload DEBUG 2023-12-20 19:23:59,148 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/core/files/__init__.py first seen with mtime 1700301303.2794857
django.utils.autoreload DEBUG 2023-12-20 19:23:59,148 autoreload 9640 140194417188928 File /usr/lib/python3.11/wsgiref/simple_server.py first seen with mtime 1686132789.0
django.utils.autoreload DEBUG 2023-12-20 19:23:59,148 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/contrib/sessions/backends/__init__.py first seen with mtime 1700301303.1832097
django.utils.autoreload DEBUG 2023-12-20 19:23:59,148 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/phonenumber_field/formfields.py first seen with mtime 1702977389.178872
